Ingredient Name,Category,Safety Level,Allergy Risk,Health Impact,Processing Level,Regulatory Status,Packaging Names / Alternate Names
Locust Bean Gum,Thickeners,Safe,No Risk,Neutral,Processed,Approved,locust bean gum; carob bean gum; ins 410; e410
Long Pepper (Pippali),Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,long pepper; pippali
Low Methoxyl Pectin,Gelling Agents,Safe,No Risk,Neutral,Processed,Approved,low methoxyl pectin; lm pectin; ins 440
Mace,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,mace; javitri
Magnesium Carbonate,Anti-Caking Agents,Safe,No Risk,Neutral,Processed,Approved,magnesium carbonate; ins 504; e504
Magnesium Oxide,Minerals,Safe,No Risk,Positive,Processed,Approved,magnesium oxide; ins 530
Magnesium Stearate,Anti-Caking Agents,Safe,No Risk,Neutral,Processed,Approved,magnesium stearate; ins 470; e470
Magnesium Sulphate,Minerals,Safe,No Risk,Positive,Processed,Approved,magnesium sulphate; magnesium sulfate; epsom salt
Malic Acid,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,malic acid; ins 296; e296
Malt Extract,Sweeteners,Safe,No Risk,Neutral,Processed,Approved,malt extract
Malted Milk Powder,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,malted milk powder; malt milk powder
Maltodextrin,Flour & Starch,Moderate Risk,No Risk,Negative,Highly Processed,Approved,maltodextrin; ins 1400
Maltose,Sweeteners,Safe,No Risk,Neutral,Processed,Approved,maltose; malt sugar
Manganese Sulphate,Minerals,Safe,No Risk,Positive,Processed,Approved,manganese sulphate; manganese sulfate
Mango Pulp,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,mango pulp; aam pulp
Mannitol,Artificial Sweeteners,Moderate Risk,No Risk,Negative,Ultra Processed,Approved with Limits,mannitol; ins 421; e421
Melon Seeds (Magaz),Nuts & Seeds,Safe,High,Positive,Natural,Approved,melon seeds; magaz; muskmelon seeds
Methyl Cellulose,Thickeners,Safe,No Risk,Neutral,Processed,Approved,methyl cellulose; ins 461; e461
Methyl Paraben,Preservatives,Moderate Risk,No Risk,Negative,Processed,Restricted,methyl paraben; methylparaben; ins 218; e218
Methylcellulose Gel,Gelling Agents,Safe,No Risk,Neutral,Processed,Approved,methylcellulose gel; methyl cellulose gel
Milk Fat,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,milk fat; butterfat
Milk Protein,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,milk protein; total milk protein
Milk Protein Concentrate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,milk protein concentrate; mpc
Milk Solids Non-Fat,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,milk solids non-fat; msnf; non-fat milk solids
Mineral Oil (Food Grade),Glazing Agents,Moderate Risk,No Risk,Neutral,Minimally Processed,Approved with Limits,mineral oil; food grade mineral oil; white mineral oil
Mixed Tocopherols,Antioxidants,Safe,No Risk,Positive,Processed,Approved,mixed tocopherols; ins 307b
Modified Starch,Flour & Starch,Moderate Risk,No Risk,Neutral,Highly Processed,Approved,modified starch; modified food starch; modified corn starch
Modified Tapioca Starch,Thickeners,Safe,No Risk,Neutral,Processed,Approved,modified tapioca starch
Mono- and Diglycerides of Fatty Acids,Emulsifiers,Moderate Risk,No Risk,Neutral,Highly Processed,Approved,mono and diglycerides of fatty acids; mono-diglycerides; mdg; ins 471; e471
Monocalcium Phosphate,Raising Agents,Safe,No Risk,Neutral,Processed,Approved,monocalcium phosphate; ins 341(i)
Monosodium Glutamate (MSG),Flavour Enhancers,Moderate Risk,Low,Neutral,Ultra Processed,Approved,monosodium glutamate; msg; flavour enhancer (621); ins 621; e621; ajinomoto
Mung Bean Starch,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,mung bean starch; moong starch
Mushroom Powder,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,mushroom powder; khumb powder
Mustard Oil,Vegetable Oils,Safe,No Risk,Neutral,Processed,Approved,mustard oil; sarson ka tel; kachi ghani oil
Mustard Seeds,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,mustard seeds; rai; sarson
Natamycin,Preservatives,Safe,No Risk,Neutral,Processed,Approved with Limits,natamycin; pimaricin; ins 235; e235
Natural Cardamom Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural cardamom extract; elaichi extract
Natural Cinnamon Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural cinnamon extract; dalchini extract
Natural Cocoa Flavour,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural cocoa flavour; cocoa flavour (natural)
Natural Coffee Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural coffee extract; coffee extract
Natural Fruit Flavour,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural fruit flavour; natural mixed fruit flavour
Natural Ginger Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural ginger extract; adrak extract
Natural Lemon Oil,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural lemon oil; lemon oil
Natural Mint Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural mint extract; peppermint extract
Natural Orange Oil,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural orange oil; orange oil
Natural Vanilla Extract,Natural Flavours,Safe,Low,Neutral,Processed,Approved,natural vanilla extract; vanilla extract
Neotame,Artificial Sweeteners,Moderate Risk,No Risk,Negative,Ultra Processed,Approved with Limits,neotame; ins 961; e961
Nisin,Preservatives,Safe,No Risk,Neutral,Processed,Approved with Limits,nisin; ins 234; e234
Nitrogen,Packaging Gas Ingredients,Very Safe,No Risk,Neutral,Processed,Approved,nitrogen; ins 941; e941
Nitrous Oxide,Packaging Gas Ingredients,Very Safe,No Risk,Neutral,Processed,Approved,nitrous oxide; ins 942; e942
Nutmeg,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,nutmeg; jaiphal
Oats,Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,oats; oat; jai
Olive Oil,Vegetable Oils,Safe,No Risk,Neutral,Processed,Approved,olive oil
Onion Flakes,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,onion flakes; dehydrated onion; pyaz flakes
Onion Powder,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,onion powder; pyaz powder
Orange Juice Concentrate,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,orange juice concentrate; oj concentrate
Oregano,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,oregano
Oxygen,Packaging Gas Ingredients,Very Safe,No Risk,Neutral,Processed,Approved,oxygen; ins 948; e948
Palm Kernel Oil,Vegetable Oils,Safe,No Risk,Neutral,Processed,Approved,palm kernel oil
Palm Oil,Vegetable Oils,Moderate Risk,No Risk,Negative,Processed,Approved with Limits,palm oil; palm olein
Palm Sugar,Sweeteners,Safe,No Risk,Neutral,Processed,Approved,palm sugar; taad gur
Panch Phoron,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,panch phoron; bengali five spice mix
Paneer,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,paneer; indian cottage cheese
Papain,Enzymes,Safe,Low,Neutral,Processed,Approved,papain; papaya enzyme
Papaya Pulp,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,papaya pulp; papita pulp
Paprika,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,paprika
Paprika Oleoresin,Food Colours,Safe,No Risk,Neutral,Minimally Processed,Approved,paprika oleoresin; paprika extract; ins 160c
Paraffin Wax,Glazing Agents,Moderate Risk,No Risk,Neutral,Minimally Processed,Approved with Limits,paraffin wax; ins 905
Passion Fruit Pulp,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,passion fruit pulp; krishna phal pulp
Pav Bhaji Masala,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,pav bhaji masala
Pea Flour,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,pea flour; matar ka atta
Pea Protein Isolate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,pea protein isolate; pea protein
Peach Puree,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,peach puree; aadu puree
Peanuts,Nuts & Seeds,Safe,High,Positive,Natural,Approved,peanuts; groundnuts; mungfali
Pear Puree,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,pear puree; nashpati puree
Pectin,Thickeners,Safe,No Risk,Neutral,Processed,Approved,pectin; ins 440; e440
Pectinase,Enzymes,Safe,Low,Neutral,Processed,Approved,pectinase
Phosphoric Acid,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,phosphoric acid; ins 338; e338
Pickling Spice Mix,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,pickling spice mix; achar masala
Pigeon Pea (Toor Dal),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,pigeon pea; toor dal; arhar dal
Pine Nuts,Nuts & Seeds,Safe,High,Positive,Natural,Approved,pine nuts; chilgoza
Pineapple Chunks,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,pineapple chunks; annanas pieces
Pistachios,Nuts & Seeds,Safe,High,Positive,Natural,Approved,pistachios; pista
Polydextrose,Humectants,Safe,No Risk,Neutral,Processed,Approved,polydextrose; ins 1200
Polyglycerol Polyricinoleate (PGPR),Emulsifiers,Moderate Risk,No Risk,Neutral,Highly Processed,Approved with Limits,pgpr; polyglycerol polyricinoleate; ins 476; e476
Polysorbate 60,Emulsifiers,Moderate Risk,No Risk,Negative,Ultra Processed,Approved with Limits,polysorbate 60; ps60; ins 435; e435
Polysorbate 80,Emulsifiers,Moderate Risk,No Risk,Negative,Ultra Processed,Approved with Limits,polysorbate 80; ps80; tween 80; ins 433; e433
Pomegranate Juice,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,pomegranate juice; anar juice
Ponceau 4R,Food Colours,High Risk,Medium,Negative,Processed,Approved,ponceau 4r; cochineal red a; ins 124; e124
Poppy Seeds (Khus Khus),Nuts & Seeds,Safe,Medium,Positive,Natural,Approved,poppy seeds; khus khus; posto
Potassium Alginate,Stabilizers,Safe,No Risk,Neutral,Processed,Approved,potassium alginate; ins 402; e402
Potassium Benzoate,Preservatives,Moderate Risk,No Risk,Negative,Processed,Approved with Limits,potassium benzoate; ins 212; e212
Potassium Chloride,Minerals,Safe,No Risk,Positive,Processed,Approved,potassium chloride; ins 508
Potassium Citrate,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,potassium citrate; ins 332; e332
Potassium Ferrocyanide,Anti-Caking Agents,Moderate Risk,No Risk,Neutral,Processed,Approved with Limits,potassium ferrocyanide; ins 536; e536
Potassium Iodate (Iodine),Minerals,Safe,No Risk,Positive,Processed,Approved,potassium iodate; iodine
Potassium Metabisulphite,Preservatives,High Risk,Medium,Negative,Processed,Approved with Limits,potassium metabisulphite; ins 224; e224
Potassium Nitrate,Preservatives,High Risk,No Risk,Negative,Processed,Approved with Limits,potassium nitrate; ins 252; e252
Potassium Phosphate,Minerals,Safe,No Risk,Positive,Processed,Approved,potassium phosphate; ins 340
Potassium Sorbate,Preservatives,Safe,No Risk,Neutral,Processed,Approved with Limits,potassium sorbate; ins 202; e202
Potato Flakes,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,potato flakes; aloo flakes; dehydrated mashed potato
Potato Starch,Flour & Starch,Safe,No Risk,Neutral,Processed,Approved,potato starch; aloo starch
Pre-gelatinized Starch,Thickeners,Safe,No Risk,Neutral,Processed,Approved,pre-gelatinized starch; pregelatinized starch; instant starch
Propionic Acid,Preservatives,Moderate Risk,No Risk,Negative,Processed,Approved with Limits,propionic acid; ins 280; e280
Propyl Gallate,Antioxidants,Moderate Risk,No Risk,Negative,Processed,Approved with Limits,propyl gallate; ins 310; e310
Propyl Paraben,Preservatives,Moderate Risk,No Risk,Negative,Processed,Restricted,propyl paraben; propylparaben; ins 216; e216
Propylene Glycol,Humectants,Moderate Risk,No Risk,Negative,Processed,Approved,propylene glycol; ins 1520
Propylene Glycol Esters of Fatty Acids,Emulsifiers,Moderate Risk,No Risk,Neutral,Highly Processed,Approved,propylene glycol esters of fatty acids; pge; ins 477; e477
Protease,Enzymes,Safe,Low,Neutral,Processed,Approved,protease; proteolytic enzyme
Prune Puree,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,prune puree; dried plum puree
Psyllium Husk,Thickeners,Safe,No Risk,Neutral,Processed,Approved,psyllium husk; isabgol
Puffed Rice (Murmura),Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,puffed rice; murmura; mamra; lai
Pumpkin Puree,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,pumpkin puree; kaddu puree
Pumpkin Seeds,Nuts & Seeds,Safe,High,Positive,Natural,Approved,pumpkin seeds; kaddu ke beej
Quinoa,Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,quinoa
Quinoline Yellow,Food Colours,High Risk,Medium,Negative,Processed,Approved,quinoline yellow; ins 104; e104
Radish,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,radish; mooli
Ragi (Finger Millet),Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,ragi; finger millet; nachni; mandua
Raisins,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,raisins; kishmish
Rasam Powder,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,rasam powder; rasam masala
Red Bell Pepper Powder,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,red bell pepper powder; lal shimla mirch powder
Red Chilli Powder,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,red chilli powder; lal mirch powder
Red Kidney Bean Flour,Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,red kidney bean flour; rajma flour
Red Lentils (Masoor Dal),Pulses & Legumes,Very Safe,Low,Positive,Minimally Processed,Approved,red lentils; masoor dal; masoor
Refined Wheat Flour (Maida),Cereals & Grains,Safe,Medium,Neutral,Processed,Approved,refined wheat flour; maida; refined flour; white flour
Rennet,Enzymes,Safe,Low,Neutral,Processed,Approved,rennet; rennin
Rennet Casein,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,rennet casein
Rice Bran,Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,rice bran
Rice Bran Flour,Flour & Starch,Safe,No Risk,Neutral,Processed,Approved,rice bran flour
Rice Bran Oil,Vegetable Oils,Safe,No Risk,Neutral,Processed,Approved,rice bran oil
Rice Flour,Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,rice flour; ground rice; chawal ka atta
Rice Protein,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,rice protein; rice protein concentrate
Rice Starch,Flour & Starch,Safe,No Risk,Neutral,Processed,Approved,rice starch
Rock Salt,Herbs & Spices,Very Safe,No Risk,Neutral,Natural,Approved,rock salt; sendha namak
Rolled Oats,Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,rolled oats; oat flakes; porridge oats
Rosemary,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,rosemary
Rosemary Extract,Antioxidants,Very Safe,No Risk,Positive,Minimally Processed,Approved,rosemary extract; ins 392
Saccharin,Artificial Sweeteners,Moderate Risk,No Risk,Negative,Ultra Processed,Approved with Limits,saccharin; ins 954; e954
Saffron,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,saffron; kesar
Sago (Sabudana),Flour & Starch,Safe,No Risk,Neutral,Processed,Approved,sago; sabudana; tapioca pearls
Sambar Masala,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,sambar masala; sambhar powder
Semolina (Suji/Rava),Cereals & Grains,Very Safe,No Risk,Positive,Minimally Processed,Approved,semolina; suji; sooji; rava
Sesame Oil,Vegetable Oils,Safe,High,Neutral,Processed,Approved,sesame oil; til oil; gingelly oil
Sesame Seeds,Nuts & Seeds,Safe,High,Positive,Natural,Approved,sesame seeds; til
Shellac,Glazing Agents,Safe,No Risk,Neutral,Minimally Processed,Approved,shellac; ins 904; e904
Sichuan Pepper,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,sichuan pepper; szechuan pepper
Silica Gel (Processing Aid),Processing Aids,Moderate Risk,No Risk,Neutral,Highly Processed,Approved with Limits,silica gel
Silicon Dioxide,Anti-Caking Agents,Safe,No Risk,Neutral,Processed,Approved,silicon dioxide; silica; ins 551; e551
Skimmed Milk Powder,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,skimmed milk powder; smp; skim milk powder; non-fat dry milk
Sodium Alginate,Stabilizers,Safe,No Risk,Neutral,Processed,Approved,sodium alginate; ins 401; e401
Sodium Aluminium Phosphate,Raising Agents,Moderate Risk,No Risk,Neutral,Processed,Approved with Limits,sodium aluminium phosphate; salp; ins 541
Sodium Aluminosilicate,Anti-Caking Agents,Safe,No Risk,Neutral,Processed,Approved,sodium aluminosilicate; ins 554; e554
Sodium Ascorbate,Antioxidants,Safe,No Risk,Positive,Processed,Approved,sodium ascorbate; ins 301; e301
Sodium Benzoate,Preservatives,Moderate Risk,No Risk,Negative,Processed,Approved with Limits,sodium benzoate; preservative 211; ins 211; e211
Sodium Bicarbonate,Raising Agents,Safe,No Risk,Neutral,Processed,Approved,sodium bicarbonate; baking soda; bicarbonate of soda; sodium hydrogen carbonate; ins 500(ii); e500(ii)
Sodium Bisulphite,Preservatives,High Risk,Medium,Negative,Processed,Approved with Limits,sodium bisulphite; sodium hydrogen sulphite; ins 222; e222
Sodium Carboxymethyl Cellulose,Thickeners,Safe,No Risk,Neutral,Processed,Approved,sodium carboxymethyl cellulose; sodium cmc; ins 466; e466
Sodium Caseinate,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,sodium caseinate; caseinate
Sodium Chloride (Salt),Minerals,Safe,No Risk,Positive,Processed,Approved,sodium chloride; salt; namak; table salt
Sodium Citrate,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,sodium citrate; ins 331; e331
Sodium Diacetate,Preservatives,Safe,No Risk,Negative,Processed,Approved with Limits,sodium diacetate; ins 262(ii)
Sodium Erythorbate,Antioxidants,Safe,No Risk,Positive,Processed,Approved,sodium erythorbate; ins 316; e316
Sodium Ferrocyanide,Anti-Caking Agents,Moderate Risk,No Risk,Neutral,Processed,Approved with Limits,sodium ferrocyanide; ins 535; e535
Sodium Hydroxide (Processing),Processing Aids,Moderate Risk,No Risk,Neutral,Highly Processed,Approved with Limits,sodium hydroxide; caustic soda; lye; ins 524
Sodium Lactate,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,sodium lactate; ins 325; e325
Sodium Metabisulphite,Preservatives,High Risk,Medium,Negative,Processed,Approved with Limits,sodium metabisulphite; sodium metabisulfite; ins 223; e223
Sodium Molybdate (Molybdenum),Minerals,Safe,No Risk,Positive,Processed,Approved,sodium molybdate; molybdenum
Sodium Nitrate,Preservatives,High Risk,No Risk,Negative,Processed,Approved with Limits,sodium nitrate; ins 251; e251
Sodium Nitrite,Preservatives,High Risk,No Risk,Very Negative,Processed,Approved with Limits,sodium nitrite; ins 250; e250
Sodium Propionate,Preservatives,Safe,No Risk,Neutral,Processed,Approved with Limits,sodium propionate; ins 281; e281
Sodium Selenite (Selenium),Minerals,Safe,No Risk,Positive,Processed,Approved,sodium selenite; selenium
Sodium Stearoyl Lactylate,Emulsifiers,Safe,No Risk,Neutral,Highly Processed,Approved,sodium stearoyl lactylate; ssl; ins 481
Sodium Sulphite,Preservatives,High Risk,Medium,Negative,Processed,Approved with Limits,sodium sulphite; sodium sulfite; ins 221; e221
Sorbic Acid,Preservatives,Safe,No Risk,Negative,Processed,Approved with Limits,sorbic acid; ins 200; e200
Sorbitan Monostearate,Emulsifiers,Moderate Risk,No Risk,Neutral,Highly Processed,Approved,sorbitan monostearate; ins 491; e491
Sorbitol (Humectant),Humectants,Safe,No Risk,Neutral,Processed,Approved,sorbitol; ins 420; e420
Sorbitol (Sweetener),Artificial Sweeteners,Safe,No Risk,Negative,Ultra Processed,Approved with Limits,sorbitol; ins 420; e420
Sorghum Flour,Flour & Starch,Safe,No Risk,Neutral,Processed,Approved,sorghum flour; jowar flour; jowar atta
Soy Flour,Pulses & Legumes,Very Safe,Medium,Positive,Minimally Processed,Approved,soy flour; soya flour
Soy Lecithin,Emulsifiers,Safe,Medium,Neutral,Highly Processed,Approved,soy lecithin; soya lecithin; e322
Soy Protein Concentrate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,soy protein concentrate; soya protein concentrate; spc
Soy Protein Isolate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,soy protein isolate; soya protein isolate; spi
Soybean,Pulses & Legumes,Very Safe,Medium,Positive,Minimally Processed,Approved,soybean; soya bean; soya
Soybean Oil,Vegetable Oils,Safe,No Risk,Neutral,Processed,Approved,soybean oil; soya oil; soyabean tel
Spinach Powder,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,spinach powder; palak powder
Star Anise,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,star anise; chakra phool
Steviol Glycosides (Stevia),Artificial Sweeteners,Safe,No Risk,Neutral,Ultra Processed,Approved with Limits,steviol glycosides; stevia; ins 960
Strawberry Puree,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,strawberry puree
Sucralose,Artificial Sweeteners,Moderate Risk,No Risk,Negative,Ultra Processed,Approved with Limits,sucralose; ins 955; e955
Sucrose (Sugar),Sweeteners,Moderate Risk,No Risk,Negative,Processed,Approved,sucrose; sugar; cane sugar; refined sugar
Sucrose Esters of Fatty Acids,Emulsifiers,Moderate Risk,No Risk,Neutral,Highly Processed,Approved,sucrose esters of fatty acids; sucrose esters; ins 473; e473
Sulphur Dioxide,Preservatives,High Risk,Medium,Negative,Processed,Approved with Limits,sulphur dioxide; sulfur dioxide; so2; ins 220; e220
Sunflower Lecithin,Emulsifiers,Safe,No Risk,Neutral,Highly Processed,Approved,sunflower lecithin
Sunflower Oil,Vegetable Oils,Safe,No Risk,Neutral,Processed,Approved,sunflower oil; surajmukhi tel
Sunflower Seeds,Nuts & Seeds,Safe,High,Positive,Natural,Approved,sunflower seeds; surajmukhi beej
Sunset Yellow FCF,Food Colours,High Risk,Medium,Negative,Processed,Approved,sunset yellow fcf; yellow 6; ins 110; e110
Sweet Corn,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,sweet corn; makai dana
Sweet Potato,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,sweet potato; shakarkand
TBHQ (Tertiary Butylhydroquinone),Antioxidants,High Risk,No Risk,Negative,Ultra Processed,Approved with Limits,tbhq; tertiary butylhydroquinone; tert-butylhydroquinone; ins 319; e319
Tamarind (Whole),Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,tamarind; imli
Tamarind Paste,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,tamarind paste; imli paste
Tamarind Pulp,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,tamarind pulp; imli pulp
Tandoori Masala,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,tandoori masala
Tapioca Starch,Flour & Starch,Safe,No Risk,Neutral,Processed,Approved,tapioca starch; tapioca flour
Tara Gum,Stabilizers,Safe,No Risk,Neutral,Processed,Approved,tara gum; ins 417; e417
Tartaric Acid,Acidity Regulators,Safe,No Risk,Neutral,Processed,Approved,tartaric acid; ins 334; e334
Tartrazine (Yellow 5),Food Colours,High Risk,Medium,Negative,Processed,Approved,tartrazine; yellow 5; fd&c yellow 5; ins 102; e102
Textured Vegetable Protein (Soy Chunks),Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,soy chunks; soya chunks; textured vegetable protein; tvp; meal maker; soya nuggets; soy nuggets; mini soya chunks; textured soy protein
Thyme,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,thyme
Titanium Dioxide,Food Colours,High Risk,No Risk,Negative,Processed,Banned in Some Countries,titanium dioxide; ins 171; e171
Tocopherols (Vitamin E),Antioxidants,Very Safe,No Risk,Positive,Processed,Approved,tocopherols; ins 307; e307
Tomato Paste,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,tomato paste; tamatar paste
Tomato Powder,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,tomato powder; tamatar powder
Tragacanth Gum,Stabilizers,Safe,No Risk,Neutral,Processed,Approved,tragacanth gum; gum tragacanth; ins 413; e413
Triacetin,Humectants,Safe,No Risk,Neutral,Processed,Approved,triacetin; glyceryl triacetate; ins 1518
Tricalcium Phosphate,Anti-Caking Agents,Safe,No Risk,Neutral,Processed,Approved,tricalcium phosphate; ins 341(iii); e341
Turmeric,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,turmeric; haldi
Turnip,Vegetables,Very Safe,No Risk,Positive,Minimally Processed,Approved,turnip; shalgam
Vanaspati (Hydrogenated Vegetable Oil),Vegetable Oils,High Risk,No Risk,Very Negative,Ultra Processed,Approved,vanaspati; hydrogenated vegetable oil; hydrogenated vegetable fat; vanaspati ghee
Vanilla Pods,Herbs & Spices,Very Safe,No Risk,Positive,Natural,Approved,vanilla pods; vanilla beans
Vital Wheat Gluten,Flour & Starch,Safe,High,Neutral,Processed,Approved,vital wheat gluten; wheat gluten; seitan protein
Vitamin A (Retinyl Palmitate),Vitamins,Safe,No Risk,Positive,Processed,Approved,vitamin a; retinyl palmitate; retinol
Vitamin B1 (Thiamine),Vitamins,Safe,No Risk,Positive,Processed,Approved,vitamin b1; thiamine; thiamin
Vitamin B12 (Cyanocobalamin),Vitamins,Safe,No Risk,Positive,Processed,Approved,vitamin b12; cyanocobalamin
Vitamin B2 (Riboflavin),Vitamins,Very Safe,No Risk,Positive,Processed,Approved,riboflavin; vitamin b2; vitamin b2 colour; ins 101; e101
Vitamin B3 (Niacin),Vitamins,Safe,No Risk,Positive,Processed,Approved,vitamin b3; niacin; nicotinamide; niacinamide
Vitamin B5 (Pantothenic Acid),Vitamins,Safe,No Risk,Positive,Processed,Approved,vitamin b5; pantothenic acid; calcium pantothenate
Vitamin B6 (Pyridoxine),Vitamins,Safe,No Risk,Positive,Processed,Approved,vitamin b6; pyridoxine
Vitamin D3 (Cholecalciferol),Vitamins,Safe,No Risk,Positive,Processed,Approved,vitamin d3; cholecalciferol
Vitamin E (Tocopheryl Acetate),Vitamins,Safe,No Risk,Positive,Processed,Approved,tocopheryl acetate; alpha-tocopheryl acetate
Vitamin K (Phylloquinone),Vitamins,Safe,No Risk,Positive,Processed,Approved,vitamin k; phylloquinone; vitamin k1
Walnuts,Nuts & Seeds,Safe,High,Positive,Natural,Approved,walnuts; akhrot
Watermelon Juice,Fruits,Very Safe,No Risk,Positive,Minimally Processed,Approved,watermelon juice; tarbooz juice
Watermelon Seeds,Nuts & Seeds,Safe,High,Positive,Natural,Approved,watermelon seeds; tarbooz beej
Waxy Maize Starch,Thickeners,Safe,No Risk,Neutral,Processed,Approved,waxy maize starch; waxy corn starch
Wheat Bran,Cereals & Grains,Very Safe,Medium,Positive,Minimally Processed,Approved,wheat bran; chokar
Wheat Gluten Protein,Protein Sources,Safe,High,Positive,Highly Processed,Approved,wheat gluten protein; wheat gluten; seitan
Wheat Starch,Flour & Starch,Safe,Medium,Neutral,Processed,Approved,wheat starch
Whey Powder,Dairy Ingredients,Safe,Medium,Neutral,Processed,Approved,whey powder; dried whey; sweet whey powder
Whey Protein Concentrate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,whey protein concentrate; wpc
Whey Protein Hydrolysate,Protein Sources,Safe,Medium,Positive,Highly Processed,Approved,whey protein hydrolysate; hydrolysed whey protein
